id,lat,lng,unverified,description,season_start,season_stop,no_season,quality_rating,yield_rating,author,address,city,state,country,created_at,updated_at,access,import_link,muni,types
618,38.5448,-121.70195,false,OK... you can find almonds in about a thousand other places on campus and along the South Davis bike path. But make sure they're not the bitter kind!! These ones are safe.,,,,,,Fruit Trees in Davis,,Davis,California,United States,2013-02-07 00:20:27 UTC,2016-12-08 21:36:30 UTC,,http://fallingfruit.org/imports/12,false,{Almond}
293617,38.5719220125704,-121.753988429119,false,[1x] Apple (Malus sylvestris),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:02 UTC,2016-12-08 22:50:20 UTC,,http://fallingfruit.org/imports/96,true,"{""European crabapple""}"
297049,38.5590204486855,-121.747694634609,false,[1x] Italian stone pine (Pinus pinea),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:31 UTC,2016-12-09 00:39:26 UTC,,http://fallingfruit.org/imports/96,true,"{""Stone pine""}"
283962,38.5516680535499,-121.772142795625,false,[1x] Strawberry madrone (Arbutus unedo),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:42 UTC,2016-12-05 17:49:34 UTC,,http://fallingfruit.org/imports/96,true,"{""Strawberry tree""}"
294473,38.5568559583005,-121.710890917382,false,[1x] Fruitless mullberry (Morus alba),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:09 UTC,2016-12-03 19:07:20 UTC,,http://fallingfruit.org/imports/96,true,"{""White mulberry""}"
290319,38.5611945423719,-121.71744290951,false,[1x] Honeylocust (Gleditsia triacanthos),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:35 UTC,2016-12-09 00:39:10 UTC,,http://fallingfruit.org/imports/96,true,"{""Honey locust""}"
290443,38.5618610100529,-121.7163891866,false,[1x] Honeylocust (Gleditsia triacanthos),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:36 UTC,2016-12-09 12:59:34 UTC,,http://fallingfruit.org/imports/96,true,"{""Honey locust""}"
300163,38.5552575672093,-121.765422422257,false,[1x] Almond (Prunus dulcis),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:57 UTC,2016-12-05 13:02:19 UTC,,http://fallingfruit.org/imports/96,true,{Almond}
286749,38.5443440277032,-121.744534211031,false,[1x] Eastern redbud (Cercis canadensis),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:05 UTC,2016-12-07 16:30:52 UTC,,http://fallingfruit.org/imports/96,true,"{""Eastern redbud""}"
284583,38.5517645700303,-121.687513463243,false,[1x] European hackberry (Celtis australis),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:47 UTC,2016-12-02 08:50:08 UTC,,http://fallingfruit.org/imports/96,true,"{""Mediterranean hackberry""}"
289168,38.5511821145866,-121.742245195393,false,[1x] Ginkgo (Ginkgo biloba),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:25 UTC,2016-12-02 05:55:04 UTC,,http://fallingfruit.org/imports/96,true,{Ginkgo}
288490,38.559444,-121.726596,false,[1x] Ginkgo Autumn Gold (Ginkgo biloba). Owned by Tree Davis.,,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:19 UTC,2016-12-02 10:11:05 UTC,,http://fallingfruit.org/imports/96,true,{Ginkgo}
284049,38.5501632489101,-121.772650574802,false,[1x] Strawberry madrone (Arbutus unedo),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:42 UTC,2016-12-01 07:41:13 UTC,,http://fallingfruit.org/imports/96,true,"{""Strawberry tree""}"
303475,38.5474209169891,-121.706556587177,false,[1x] California laurel (Umbellularia californica),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:01:24 UTC,2016-12-07 16:31:26 UTC,,http://fallingfruit.org/imports/96,true,"{""California laurel""}"
